name,symbol,category,set,keywords
500px,fa fa-500px,entertainment,faSet,"media, photography"
Amazon,fa fa-amazon,technology,faSet,
Balance Scale,fa fa-balance-scale,technology,faSet,
Empty Battery,fa fa-battery-empty,technology,faSet,
Full Battery,fa fa-battery-full,technology,faSet,
Half Battery,fa fa-battery-half,technology,faSet,
Quarter Battery,fa fa-battery-quarter,technology,faSet,
3/4 Battery,fa fa-battery-three-quarters,technology,faSet,
Black Tie,fa fa-black-tie,people,faSet,
Calendar-Check,fa fa-calendar-check-o,office,faSet,
Remove from Calendar,fa fa-calendar-minus-o,office,faSet,
Add to Calendar,fa fa-calendar-plus-o,office,faSet,
Calendar,fa fa-calendar-times-o,office,faSet,
Diners Club Card,fa fa-cc-diners-club,business,faSet,"money, pay"
JCB Credit Card,fa fa-cc-jcb,business,faSet,"money, pay"
Chrome,fa fa-chrome,technology,faSet,browser
Clone,fa fa-clone,technology,faSet,
Writing Comment,fa fa-commenting,social,faSet,"speech bubble, texting"
Speech Bubble,fa fa-commenting-o,social,faSet,"speech bubble, texting"
Contao,fa fa-contao,technology,faSet,
Creative Commons,fa fa-creative-commons,business,faSet,legal
Expedited SSL,fa fa-expeditedssl,technology,faSet,
Firefox,fa fa-firefox,technology,faSet,browser
Font Icons,fa fa-fonticons,technology,faSet,
Gender Neutral,fa fa-genderless,people,faSet,
Get Pocket,fa fa-get-pocket,technology,faSet,
GG,fa fa-gg,technology,faSet,
GG,fa fa-gg-circle,technology,faSet,
Lizard,fa fa-hand-lizard-o,people,faSet,
Paper,fa fa-hand-paper-o,people,faSet,"rock, paper, scissors, game"
Peace,fa fa-hand-peace-o,people,faSet,
Pointer,fa fa-hand-pointer-o,people,faSet,
Rock,fa fa-hand-rock-o,people,faSet,"rock, paper, scissors, game"
Scissors,fa fa-hand-scissors-o,people,faSet,"rock, paper, scissors, game"
Vulcan Peace,fa fa-hand-spock-o,people,faSet,star trek
Hourglass,fa fa-hourglass,objects,faSet,time
Hourglass End,fa fa-hourglass-end,objects,faSet,time
Hourglass Half Full,fa fa-hourglass-half,objects,faSet,time
Empty Hourglass,fa fa-hourglass-o,objects,faSet,time
Hourglass Start,fa fa-hourglass-start,objects,faSet,time
Houzz,fa fa-houzz,technology,faSet,"home, furniture, decorating"
Cursor,fa fa-i-cursor,UI,faSet,
Industry,fa fa-industry,business,faSet,
Internet Explorer,fa fa-internet-explorer,technology,faSet,browser
Map,fa fa-map,objects,faSet,
Map,fa fa-map-o,objects,faSet,
Map Pin,fa fa-map-pin,objects,faSet,location
Map Signs,fa fa-map-signs,objects,faSet,
Mouse Pointer,fa fa-mouse-pointer,technology,faSet,
Group,fa fa-object-group,UI,faSet,
Ungroup,fa fa-object-ungroup,UI,faSet,
Odnoklassniki,fa fa-odnoklassniki,technology,faSet,
Square Odnoklassniki,fa fa-odnoklassniki-square,technology,faSet,
Opencart,fa fa-opencart,business,faSet,"shopping, eCommerce"
Opera,fa fa-opera,technology,faSet,browser
Optin Monster,fa fa-optin-monster,technology,faSet,
Registered,fa fa-registered,business,faSet,legal
Safari,fa fa-safari,technology,faSet,browser
Sticky Note,fa fa-sticky-note,office,faSet,
Sticky Note,fa fa-sticky-note-o,office,faSet,
Television,fa fa-television,entertainment,faSet,media
Trademark,fa fa-trademark,business,faSet,legal
Trip Advisor,fa fa-trip-advisor,technology,faSet,
Vimeo,fa fa-vimeo,technology,faSet,
Wikipedia,fa fa-wikipedia-w,technology,faSet,
Combinator,fa fa-y-combinator,technology,faSet,
