name,symbol,category,author,keywords
Glass,fa-glass,Entertainment,font-awesome,"entertainment, food, drink, party "
Music,fa-music,Entertainment,font-awesome,"entertainment, music"
Search,fa-search,UI,font-awesome,"ui, technology"
Envelope,fa-envelope-o,UI,font-awesome,UI
Heart,fa-heart,UI,font-awesome,UI
Star,fa-star,UI,font-awesome,UI
Star,fa-star-o,UI,font-awesome,UI
User,fa-user,Technology,font-awesome,Technology
Film,fa-film,Entertainment,font-awesome,Entertainment
Table Header,fa-th-large,UI,font-awesome,UI
Table Header,fa-th,UI,font-awesome,UI
List,fa-th-list,UI,font-awesome,UI
OK,fa-check,UI,font-awesome,UI
Close,fa-times,UI,font-awesome,UI
Zoom In,fa-search-plus,UI,font-awesome,UI
Zoom Out,fa-search-minus,UI,font-awesome,UI
Power Off,fa-power-off,Technology,font-awesome,Technology
Signal,fa-signal,Technology,font-awesome,Technology
Cog,fa-cog,UI,font-awesome,UI
Trash,fa-trash-o,UI,font-awesome,UI
Home,fa-home,UI,font-awesome,UI
File,fa-file-o,Business,font-awesome,Business
Clock,fa-clock-o,Business,font-awesome,Business
Road,fa-road,Travel,font-awesome,Travel
Download,fa-download,UI,font-awesome,UI
Circle Arrow Down,fa-arrow-circle-o-down,UI,font-awesome,UI
Circle Arrow Up,fa-arrow-circle-o-up,UI,font-awesome,UI
Inbox,fa-inbox,Business,font-awesome,Business
Circle Play,fa-play-circle-o,Entertainment,font-awesome,Entertainment
Repeat,fa-repeat,Entertainment,font-awesome,Entertainment
Refresh,fa-refresh,UI,font-awesome,UI
List,fa-list-alt,UI,font-awesome,UI
Lock,fa-lock,UI,font-awesome,UI
Flag,fa-flag,UI,font-awesome,UI
Headphones,fa-headphones,Entertainment,font-awesome,Entertainment
Volume Off,fa-volume-off,Entertainment,font-awesome,"entertainment, sound, media control"
Volume Down,fa-volume-down,Entertainment,font-awesome,"entertainment, sound, media control"
Volume Up,fa-volume-up,Entertainment,font-awesome,"entertainment, sound, media control"
QR Code,fa-qrcode,Business,font-awesome,Business
Bar Code,fa-barcode,Business,font-awesome,Business
Tag,fa-tag,Business,font-awesome,Business
Tags,fa-tags,Business,font-awesome,Business
Book,fa-book,UI,font-awesome,UI
Bookmark,fa-bookmark,UI,font-awesome,UI
Print,fa-print,UI,font-awesome,UI
Camera,fa-camera,Entertainment,font-awesome,Entertainment
Font,fa-font,UI,font-awesome,UI
Bold,fa-bold,UI,font-awesome,UI
Italic,fa-italic,UI,font-awesome,UI
Text Height,fa-text-height,UI,font-awesome,UI
Text Width,fa-text-width,UI,font-awesome,UI
Align Left,fa-align-left,UI,font-awesome,UI
Align Center,fa-align-center,UI,font-awesome,UI
Align Right,fa-align-right,UI,font-awesome,UI
Align Justify,fa-align-justify,UI,font-awesome,UI
List,fa-list,UI,font-awesome,UI
Indent,fa-indent,UI,font-awesome,UI
Outdent,fa-outdent,UI,font-awesome,UI
Camera Video,fa-video-camera,Entertainment,font-awesome,Entertainment
Picture,fa-picture-o,Entertainment,font-awesome,Entertainment
Pencil,fa-pencil,Business,font-awesome,Business
Map Marker,fa-map-marker,UI,font-awesome,UI
Adjust,fa-adjust,Entertainment,font-awesome,Entertainment
Tint,fa-tint,Entertainment,font-awesome,Entertainment
Pencil,fa-pencil-square-o,Business,font-awesome,Business
Share,fa-share-square-o,Social,font-awesome,Social
OK,fa-check-square-o,UI,font-awesome,UI
Move,fa-arrows,UI,font-awesome,UI
Step Back,fa-step-backward,Entertainment,font-awesome,Entertainment
Step Forward,fa-fast-backward,Entertainment,font-awesome,Entertainment
Backward,fa-backward,Entertainment,font-awesome,Entertainment
Play,fa-play,Entertainment,font-awesome,Entertainment
Pause,fa-pause,Entertainment,font-awesome,Entertainment
Stop,fa-stop,Entertainment,font-awesome,Entertainment
Forward,fa-forward,Entertainment,font-awesome,Entertainment
Fast Forward,fa-fast-forward,Entertainment,font-awesome,Entertainment
Step Forward,fa-step-forward,Entertainment,font-awesome,Entertainment
Eject,fa-eject,Entertainment,font-awesome,Entertainment
Chevron Left,fa-chevron-left,UI,font-awesome,UI
Chevron Right,fa-chevron-right,UI,font-awesome,UI
Circle Plus,fa-plus-circle,UI,font-awesome,UI
Circle Minus,fa-minus-circle,UI,font-awesome,UI
Circle Close,fa-times-circle,UI,font-awesome,UI
