name,symbol,category,set,keywords
Glass,faglass,entertainment,font-awesome,"entertainment, food, drink, party "
Music,fa-music,entertainment,font-awesome,"entertainment, music"
Search,fa-search,UI,font-awesome,"ui, technology"
Envelope,fa-envelope-o,UI,font-awesome,UI
Heart,fa-heart,UI,font-awesome,UI
Star,fa-star,UI,font-awesome,UI
Star,fa-star-o,UI,font-awesome,UI
User,fa-user,technology,font-awesome,technology
Film,fa-film,entertainment,font-awesome,"entertainment, media"
Table Header,fa-th-large,UI,font-awesome,UI
Table Header,fa-th,UI,font-awesome,UI
List,fa-th-list,UI,font-awesome,UI
OK,fa-check,UI,font-awesome,UI
Close,fa-times,UI,font-awesome,UI
Zoom In,fa-search-plus,UI,font-awesome,UI
Zoom Out,fa-search-minus,UI,font-awesome,UI
Power Off,fa-power-off,technology,font-awesome,technology
Signal,fa-signal,technology,font-awesome,technology
Cog,fa-cog,UI,font-awesome,UI
Trash,fa-trash-o,UI,font-awesome,UI
Home,fa-home,UI,font-awesome,UI
File,fa-file-o,business,font-awesome,business
Clock,fa-clock-o,business,font-awesome,business
Road,fa-road,travel,font-awesome,travel
Download,fa-download,UI,font-awesome,UI
Circle Arrow Down,fa-arrow-circle-o-down,UI,font-awesome,UI
Circle Arrow Up,fa-arrow-circle-o-up,UI,font-awesome,UI
Inbox,fa-inbox,business,font-awesome,business
Circle Play,fa-play-circle-o,entertainment,font-awesome,"entertainment, media"
Repeat,fa-repeat,entertainment,font-awesome,"entertainment, media"
Refresh,fa-refresh,UI,font-awesome,UI
List,fa-list-alt,UI,font-awesome,UI
Lock,fa-lock,UI,font-awesome,UI
Flag,fa-flag,UI,font-awesome,UI
Headphones,fa-headphones,entertainment,font-awesome,"entertainment, media"
Volume Off,fa-volume-off,entertainment,font-awesome,"entertainment, sound, media control"
Volume Down,fa-volume-down,entertainment,font-awesome,"entertainment, sound, media control"
Volume Up,fa-volume-up,entertainment,font-awesome,"entertainment, sound, media control"
QR Code,fa-qrcode,business,font-awesome,business
Bar Code,fa-barcode,business,font-awesome,business
Tag,fa-tag,business,font-awesome,business
Tags,fa-tags,business,font-awesome,business
Book,fa-book,UI,font-awesome,UI
Bookmark,fa-bookmark,UI,font-awesome,UI
Print,fa-print,UI,font-awesome,UI
Camera,fa-camera,entertainment,font-awesome,"entertainment, media"
Font,fa-font,UI,font-awesome,UI
Bold,fa-bold,UI,font-awesome,UI
Italic,fa-italic,UI,font-awesome,UI
Text Height,fa-text-height,UI,font-awesome,UI
Text Width,fa-text-width,UI,font-awesome,UI
Align Left,fa-align-left,UI,font-awesome,UI
Align Center,fa-align-center,UI,font-awesome,UI
Align Right,fa-align-right,UI,font-awesome,UI
Align Justify,fa-align-justify,UI,font-awesome,UI
List,fa-list,UI,font-awesome,UI
Indent,fa-indent,UI,font-awesome,UI
Outdent,fa-outdent,UI,font-awesome,UI
Camera Video,fa-video-camera,entertainment,font-awesome,"entertainment, media"
Picture,fa-picture-o,entertainment,font-awesome,"entertainment, media"
Pencil,fa-pencil,business,font-awesome,business
Map Marker,fa-map-marker,UI,font-awesome,UI
Adjust,fa-adjust,entertainment,font-awesome,"entertainment, media"
Tint,fa-tint,entertainment,font-awesome,"entertainment, media"
Pencil,fa-pencil-square-o,business,font-awesome,business
Share,fa-share-square-o,social,font-awesome,social
OK,fa-check-square-o,UI,font-awesome,UI
Move,fa-arrows,UI,font-awesome,UI
Step Back,fa-step-backward,entertainment,font-awesome,"entertainment, media"
Step Forward,fa-fast-backward,entertainment,font-awesome,"entertainment, media"
Backward,fa-backward,entertainment,font-awesome,"entertainment, media"
Play,fa-play,entertainment,font-awesome,"entertainment, media"
Pause,fa-pause,entertainment,font-awesome,"entertainment, media"
Stop,fa-stop,entertainment,font-awesome,"entertainment, media"
Forward,fa-forward,entertainment,font-awesome,"entertainment, media"
Fast Forward,fa-fast-forward,entertainment,font-awesome,"entertainment, media"
Step Forward,fa-step-forward,entertainment,font-awesome,"entertainment, media"
Eject,fa-eject,entertainment,font-awesome,"entertainment, media"
Chevron Left,fa-chevron-left,UI,font-awesome,UI
Chevron Right,fa-chevron-right,UI,font-awesome,UI
Circle Plus,fa-plus-circle,UI,font-awesome,UI
Circle Minus,fa-minus-circle,UI,font-awesome,UI
Circle Close,fa-times-circle,UI,font-awesome,UI
